cls,cls_name,cls_en,n_boxes,long_px_median,long_px_mean,long_px_p05,long_px_p95,aspect_median,refine_n,refine_ok_frac,refined_long_px_median,shrink_ratio_median,shrink_ratio_mean,intensity_n,mean_int_median,std_int_median,contrast_median
0,Rotwild,red deer,21787,69.0,80.0938010392522,44.0,113.0,1.2258064516129032,798,0.9987468671679198,61.0,0.807428395565758,1.2176244275182169,796,101.71537297714785,38.29622846629719,16.980573656526857
1,Rehwild,roe deer,17403,61.0,64.61592943745332,30.0,109.0,1.2857142857142858,800,0.99875,63.0,1.146341463414634,1.3085752483992494,800,116.1239157005815,32.320407842894916,19.846330484330494
2,Schwarzwild,wild boar,6856,61.0,75.44995687228796,41.0,170.25,1.1686070123189387,799,0.9987484355444305,41.0,0.3694894536357951,0.9262907176306066,798,79.39030116265258,36.21267811105539,17.415493589137583
