tracklet_id,flight_id,cls,n_steps,n_obs,mean_dir_deg,R,rayleigh_p,median_inlier,disp_px,trusted
91,6,0,13,14,312.62,0.345,0.215981,0.6841,117.56,False
92,6,0,11,12,89.97,0.0666,0.954436,0.5622,119.95,False
93,6,0,11,12,359.53,0.0806,0.933909,0.5622,377.93,False
94,6,0,4,5,93.67,0.499,0.395648,0.5932,124.27,False
95,6,0,3,4,3.63,0.606,0.365593,0.6964,399.31,False
96,10,0,60,61,105.1,0.1737,0.163754,0.7431,933.54,False
97,10,0,23,24,178.56,0.157,0.572492,0.6794,142.63,False
98,10,0,9,10,217.68,0.3831,0.274151,0.7747,151.02,False
99,10,0,8,9,152.07,0.0758,0.957662,0.7586,153.16,False
100,10,0,7,8,248.81,0.7164,0.021117,0.6782,197.89,True
101,10,0,9,10,174.49,0.3432,0.35665,0.6782,341.55,False
102,10,0,9,10,222.09,0.1767,0.765172,0.5606,38.91,False
103,10,0,23,24,102.14,0.3457,0.062518,0.6794,1151.61,False
104,10,0,9,10,113.94,0.4207,0.207411,0.5606,5.64,False
105,10,0,8,9,102.15,0.3382,0.413633,0.6185,341.48,False
106,10,0,6,7,47.03,0.379,0.440946,0.3829,1240.28,False
107,10,0,23,24,98.87,0.0842,0.852392,0.7862,229.21,False
108,10,0,23,24,57.76,0.3032,0.120316,0.7862,57.6,False
109,10,0,23,24,94.17,0.2307,0.297204,0.7862,246.34,False
110,10,0,22,23,96.67,0.2261,0.328648,0.7969,359.04,False
111,10,0,36,37,79.98,0.3376,0.015514,0.7574,258.61,False
112,10,0,36,37,60.69,0.2127,0.196908,0.7574,182.28,False
113,10,0,18,19,110.61,0.322,0.155218,0.7806,183.76,False
114,10,0,13,14,253.48,0.185,0.649658,0.8692,95.32,False
115,10,0,23,24,122.81,0.2326,0.291007,0.7862,293.54,False
116,10,0,10,11,55.45,0.3614,0.27748,0.8725,147.44,False
117,10,0,23,24,152.07,0.1574,0.570576,0.7862,144.07,False
118,10,0,15,16,33.42,0.0265,0.98986,0.7862,175.04,False
119,10,0,35,36,91.04,0.1265,0.574437,0.7584,254.09,False
120,10,0,13,14,328.22,0.2003,0.602633,0.8692,348.05,False
121,10,0,33,34,69.66,0.5355,4.1e-05,0.7584,36.2,True
122,10,0,8,9,62.99,0.2223,0.687117,0.8769,304.24,False
123,10,0,9,10,122.9,0.438,0.180505,0.8758,317.8,False
124,10,0,8,9,106.59,0.1395,0.863526,0.8725,179.99,False
125,10,0,21,22,184.35,0.1071,0.78978,0.7862,185.58,False
126,10,0,10,11,200.11,0.2166,0.637096,0.8725,149.21,False
127,10,0,11,12,100.31,0.2752,0.444583,0.8692,315.36,False
128,10,0,10,11,308.5,0.0592,0.967169,0.8725,223.09,False
129,10,0,18,19,346.4,0.0816,0.88983,0.7969,90.82,False
130,10,0,31,32,59.69,0.0728,0.850584,0.7584,69.25,False
131,10,0,14,15,52.2,0.1445,0.75313,0.7806,229.83,False
132,10,0,13,14,89.48,0.4159,0.104309,0.775,271.78,False
133,10,0,12,13,65.29,0.4319,0.105414,0.7806,356.46,False
134,10,0,23,24,171.66,0.136,0.658093,0.7561,202.61,False
135,10,0,9,10,99.76,0.3358,0.373167,0.7862,36.0,False
136,10,0,4,5,177.79,0.2618,0.782994,0.8721,102.81,False
137,10,0,0,1,,0.0,1.0,0.0,0.0,False
138,10,0,0,1,,0.0,1.0,0.0,0.0,False
139,10,0,10,11,167.3,0.077,0.945126,0.6375,34.07,False
140,10,0,8,9,304.43,0.2945,0.514381,0.6375,91.97,False
